P2P_Vel,Avg_Vel,Var_Vel,P2P_Ax,Var_Ax,P2P_Ay,Var_Ay,Var_LO,P2P_LO,Var_HA,P2P_HA,P2P_Pedal,Avg_Pedal,Var_Pedal,Var_Str,P2P_Str,Var_DStr,P2P_DStr,Avg_FrontDist,HandPress,Avg_HR,Class
0.021673468,0.525625671,0.000263316,0.030543267,0.00066243,0.075492011,0.007662124,0.285376339,0.942622692,0.019376404,0.098465006,0.053575,0.227859053,0.001344961,0.011922518,0.095828973,0.000389256,0.023017903,0.568834574,0.646203554,0.298122066,0
0.020549291,0.525540037,0.000232527,0.030543267,0.000652214,0.075502966,0.008141359,0.284677582,0.942622692,0.019871352,0.103407693,0.053575,0.228747556,0.001327989,0.012261343,0.095828973,0.000389256,0.023017903,0.582930493,0.657512116,0.297339593,0
0.019443608,0.5254673,0.000206792,0.030543267,0.000640842,0.075502966,0.008594355,0.283977985,0.942622692,0.02049946,0.108990343,0.053575,0.229636059,0.001308532,0.01257315,0.095828973,0.000404541,0.023017903,0.597121208,0.668820679,0.296557121,0
0.018353069,0.525407291,0.000185953,0.030543267,0.000628347,0.075502966,0.009019184,0.283309339,0.942622692,0.021262535,0.114271807,0.053575,0.230524562,0.001286591,0.012813408,0.095828973,0.000407683,0.023017903,0.611406463,0.680129241,0.295774648,0
0.017274915,0.525359882,0.00016984,0.030543267,0.000614779,0.075502966,0.009389679,0.282690288,0.942622692,0.022159639,0.11919293,0.053575,0.231413065,0.001262166,0.01296925,0.095828973,0.000407683,0.023017903,0.625785973,0.691437803,0.294992175,0
0.016207004,0.525324977,0.000158263,0.030543267,0.000600142,0.075502966,0.009694542,0.282130527,0.942622692,0.0231742,0.123410515,0.053575,0.232301568,0.001235257,0.013059946,0.095828973,0.000407683,0.023017903,0.640259439,0.702746365,0.294209703,0
0.015147758,0.525302487,0.000151009,0.030543267,0.000584428,0.075502966,0.009940306,0.281634919,0.942622692,0.02427292,0.126622876,0.053575,0.233190072,0.001205863,0.013114116,0.095828973,0.000392737,0.023017903,0.654826554,0.714054927,0.29342723,0
0.014095622,0.525292326,0.000147833,0.030543267,0.000567652,0.075502966,0.010141652,0.28120697,0.942622692,0.025420077,0.128863268,0.053575,0.234078575,0.001173985,0.013121169,0.095828973,0.000389256,0.023017903,0.669487016,0.725363489,0.292644757,0
0.014342916,0.525294384,0.000148454,0.030543267,0.000549787,0.075502966,0.010275234,0.280850115,0.942622692,0.026579763,0.130177818,0.053575,0.234967078,0.001139623,0.01306492,0.095828973,0.000392737,0.023017903,0.684240524,0.736672052,0.291862285,0
0.014744328,0.525318978,0.000154994,0.030434841,0.000442622,0.075502966,0.010341424,0.280567019,0.942622692,0.027699782,0.130180216,0.053575,0.236818748,0.000919718,0.012970347,0.095828973,0.000389256,0.023017903,0.699086614,0.744749596,0.291079812,0
0.015135153,0.525367307,0.000165894,0.02797558,0.000331112,0.075502966,0.010369019,0.280360623,0.942622692,0.028736298,0.130180216,0.0496,0.238670419,0.000689024,0.012844334,0.095828973,0.000389256,0.023017903,0.714024577,0.752827141,0.29029734,0
0.015511543,0.525438225,0.00017902,0.023551337,0.000234677,0.075502966,0.010365282,0.280234085,0.942622692,0.029671469,0.130180216,0.041675,0.240373694,0.000487175,0.012711743,0.095828973,0.000389256,0.023017903,0.729053717,0.760904685,0.289514867,0
0.015872937,0.525527615,0.000192537,0.023551337,0.00016708,0.075502966,0.010325846,0.28018959,0.942622692,0.030506048,0.130180216,0.041675,0.241781113,0.000346258,0.012522159,0.095828973,0.000385604,0.023017903,0.744173437,0.768982229,0.288732394,0
0.016221391,0.525635149,0.000205011,0.021272791,9.57E-05,0.075502966,0.010243659,0.280229168,0.942622692,0.031259616,0.130180216,0.0377,0.243188532,0.000199106,0.012223879,0.095828973,0.0003693,0.023017903,0.759383186,0.777059774,0.287949922,0
0.016560234,0.525759317,0.00021522,0.014621492,3.62E-05,0.075502966,0.010124239,0.280353926,0.942622692,0.031959427,0.130180216,0.0258,0.244447555,7.69E-05,0.011864741,0.095828973,0.00036514,0.023017903,0.774682447,0.785137318,0.287167449,0
0.01689282,0.525895554,0.000222962,0.007853511,9.10E-06,0.075502966,0.009946997,0.280563692,0.942622692,0.032629329,0.130180216,0.0139,0.245262328,2.36E-05,0.011380044,0.095828973,0.00036514,0.023017903,0.790070858,0.793214863,0.286384977,0
0.017115984,0.526038928,0.000228861,0.003087507,2.34E-06,0.075502966,0.009717524,0.280856584,0.942622692,0.033283204,0.130180216,0.003975,0.245632848,1.16E-05,0.010843263,0.095828973,0.00036514,0.023017903,0.805548282,0.801292407,0.285602504,0
0.017149886,0.526184144,0.000234157,0.003087507,2.26E-06,0.075502966,0.009436685,0.281226745,0.942622692,0.033918323,0.130180216,0.003975,0.245632848,1.16E-05,0.010283041,0.095828973,0.00036514,0.023017903,0.821114855,0.81098546,0.284820031,0
0.017207303,0.526329635,0.000239255,0.00301699,2.12E-06,0.075502966,0.009103772,0.281661853,0.942622692,0.03451816,0.130180216,0.003975,0.245484454,1.04E-05,0.009704355,0.095828973,0.00036514,0.023017903,0.836770893,0.820678514,0.284037559,0
0.017297493,0.526475599,0.000244093,0.002742348,2.00E-06,0.075502966,0.008722141,0.282139877,0.942622692,0.035057797,0.130180216,0.003975,0.245336059,9.15E-06,0.009107364,0.095828973,0.0003693,0.023017903,0.852516775,0.830371567,0.283255086,0
