acc,bra,str,dstr,ddstr,ax,ay,V,LO,HA,SSW_LeftDown,SSW_LeftCenter,SSW_LeftTop,SSW_CenterTop,SSW_RightTop,SSW_RightCenter,SSW_RightDown,HeartRate,Label,time_in_SEC
0.5,0.5,0,0,0,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,1,111,1,0.1
0.5,0.5,0,0,-0.049423559,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,1,111,1,0.2
0.5,0.5,0,0,-0.384354445,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,1,111,1,0.3
0.5,0.5,0,0,-0.537128431,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,1,111,1,0.4
0.5,0.5,0,0,-0.329221062,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,0.5
0.5,0.5,0,0,0.204765601,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,0.6
0.5,0.5,0,0,0.772667339,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,0.7
0.5,0.5,0,0,0.956530701,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,0.8
0.5,0.5,0,0,0.476649877,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,0.9
0.5,0.5,0,0,-0.575692017,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,1
0.5,0.5,0,0,-1.699532769,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,1.1
0.5,0.5,0,0,-2.191479165,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,1.2
0.5,0.5,0,0,-1.542134438,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,1.3
0.5,0.5,0,0,0.209638066,0,0,0,0.214927968,0.191588827,0,0,0,0,0,0,0,92,1,1.4
0.4801,0,0.054192473,-2.984513021,2.417792881,0.248664319,0.00082443,0.640220567,0.214943057,0.192378587,0,0,0,0,0,0,0,92,1,1.5
1,0,-0.043982297,2.35619449,4.073222569,0.517874141,-0.000853626,2.468672408,0.215143652,0.200855803,0,0,0,0,0,0,0,92,1,1.6
1,0,0.062831853,0.471238898,4.319019655,0.517715001,0.00187807,4.296714262,0.215463703,0.214371546,0,0,0,0,0,0,0,92,1,1.7
1,0,0.099745567,0.942477796,2.879271526,0.517460229,0.004608165,6.124017084,0.215721039,0.22541991,0,0,5,1,6,0,0,92,1,1.8
1,0,0.161006623,0.942477796,0.212096506,0.51708545,0.00942486,7.950151672,0.2155705,0.221161397,0,0,5,1,6,0,0,92,1,1.9
1,0,0.235619449,0.785398163,-2.696701766,0.516581967,0.01514377,9.774590266,0.214388536,0.181272505,0,0,5,1,6,0,0,92,1,2
1,0,0.238761042,0,-4.792325498,0.516139112,0.013483448,11.59780872,0.212074246,0.108876783,0,0,5,1,6,0,0,92,1,2.1
1,0,0.237975644,-0.157079633,-5.407978203,0.515561687,0.014499353,13.41932954,0.208784583,0.01760282,0,0,5,1,6,0,0,92,1,2.2
1,0,0.210486708,-1.099557429,-4.467982268,0.514884981,0.016411682,15.23872077,0.204449373,-0.087199579,0,0,5,1,6,0,0,92,1,2.3
1,0,0.139015475,-1.099557429,-2.413887536,0.514172791,0.015975925,17.0556675,0.198898384,-0.20310867,0,0,5,1,5,0,0,92,1,2.4
1,0,0.107599548,-0.942477796,0.066869123,0.513403328,0.013395997,18.87010257,0.192228651,-0.318749187,0,0,5,1,5,0,0,92,1,2.5
1,0,0.067544242,-0.314159265,2.310840828,0.512526444,0.010764558,20.68163724,0.184897414,-0.411813496,0,0,5,1,5,0,0,92,1,2.6
1,0,0.065188048,0,3.828908901,0.511501416,0.014170313,22.48958947,0.17703093,-0.479066955,0,0,5,1,5,0,0,92,1,2.7
1,0,0.064402649,-0.157079633,4.335892155,0.510412755,0.01636671,24.29375596,0.168400419,-0.532481985,0,0,5,1,5,0,0,92,1,2.8
1,0,0.026703538,-0.314159265,3.742046979,0.50931896,0.01119168,26.09411788,0.159221458,-0.566979121,0,0,5,1,5,0,0,92,1,2.9
1,0,0.026703538,0,2.182732213,0.508074927,0.013422776,27.89018534,0.149820787,-0.577100634,0,0,4,1,6,0,0,92,1,3
1,0,0.092676983,1.413716694,0.069764713,0.506760258,0.014759993,29.68170194,0.140192895,-0.571568893,0,0,4,1,6,0,0,92,1,3.1
1,0,0.201847328,1.256637061,-1.93306244,0.505078555,0.033858905,31.46770366,0.129715257,-0.580978273,0,0,4,1,6,0,0,92,1,3.2
1,0,0.208915911,0,-3.096291935,0.50362106,0.035862629,33.24854951,0.117498736,-0.635548033,0,0,4,1,6,0,0,92,1,3.3
1,0,0.199491134,-0.628318531,-2.941821575,0.502090263,0.038616594,35.0242285,0.103407411,-0.723036439,0,0,4,1,6,0,0,92,1,3.4
1,0,0.164148216,-0.628318531,-1.543861349,0.500467028,0.042101802,36.79431813,0.087379654,-0.827964871,0,0,4,1,6,0,0,92,1,3.5
1,0,0.159435827,0,0.423813918,0.498762688,0.045641726,38.55846133,0.069252434,-0.940899597,0,0,4,1,6,0,0,92,1,3.6
1,0,0.159435827,0,1.957817223,0.496983282,0.049008535,40.31634401,0.048848005,-1.056168378,0,0,4,1,6,0,0,92,1,3.7
1,0,0.159435827,0,2.212633226,0.495132167,0.052153782,42.06769264,0.026020809,-1.170404623,0,0,4,1,6,0,0,92,1,3.8
1,0,0.161006623,0.314159265,0.982746292,0.493211444,0.055094134,43.81224227,0.000650721,-1.281594712,0,0,4,1,6,0,0,92,1,3.9
1,0,0.182997772,0.157079633,-1.142831433,0.491222627,0.057862722,45.54974717,-0.027340661,-1.388513322,0,0,4,1,6,0,0,92,1,4
1,0,0.181426976,0,-3.05894521,0.489167015,0.060490448,47.27995917,-0.058009021,-1.490368141,0,0,4,1,6,0,0,92,1,4.1
1,0,0.174358392,0,-3.709466042,0.487045832,0.063001291,49.0026431,-0.09137442,-1.586618201,0,0,4,1,6,0,0,92,1,4.2
1,0,0.144513262,-1.413716694,-2.634162666,0.48486031,0.065411976,50.71756408,-0.127435113,-1.676856577,0,0,5,1,6,0,0,92,1,4.3
1,0,-0.003926991,-1.727875959,-0.22215932,0.483134668,0.038826,52.42614603,-0.165062162,-1.721954066,0,0,5,1,6,0,0,92,1,4.4
1,0,-0.029059732,0,2.498666243,0.480870718,0.032289782,54.1271767,-0.202293893,-1.670153501,0,0,5,1,6,0,0,92,1,4.5
1,0,0.001570796,0,4.384604032,0.478514687,0.027543575,55.82025068,-0.23821994,-1.53410193,0,0,5,1,6,0,0,92,1,4.6
1,0,0,1.413716694,4.720125541,0.476100409,0.021621054,57.50513438,-0.271890303,-1.343903445,0,0,5,1,6,0,0,92,1,4.7
1,0,0.003926991,0,3.502321696,0.473627843,0.016176018,59.18149614,-0.302217387,-1.121543384,0,0,5,1,6,0,0,92,1,4.8
1,0,-0.003141593,0,1.351905409,0.471097645,0.011908636,60.84906426,-0.328116942,-0.88196373,0,0,5,1,6,0,0,92,1,4.9
1,0,0.023561945,1.099557429,-0.79478519,0.468510926,0.008959713,62.50760696,-0.348597847,-0.634293003,0,0,2,1,3,0,0,92,1,5
1,0,0.087179196,0.785398163,-2.190407575,0.465831727,0.01407514,64.15683815,-0.362979393,-0.390505467,0,0,2,1,3,0,0,92,1,5.1
1,0,0.095818576,0,-2.492611243,0.463122422,0.01612795,65.79659207,-0.371003204,-0.167934869,0,0,2,1,3,0,0,92,1,5.2
1,0,0.111526539,0.471238898,-1.828107421,0.460336032,0.02178587,67.42657575,-0.372401317,0.030145949,0,0,2,1,3,0,0,92,1,5.3
1,0,0.122522113,0,-0.62751161,0.457502604,0.02758129,69.04660682,-0.367103706,0.201883153,0,0,2,1,3,0,0,92,1,5.4
1,0,0.120951317,0,0.571954736,0.454648755,0.03183133,70.65645849,-0.355100347,0.352487228,0,0,2,1,3,0,0,92,1,5.5
1,0,0.120951317,0,1.326258442,0.451745298,0.036162836,72.25597324,-0.336254655,0.493536136,0,0,2,1,3,0,0,92,1,5.6
1,0,0.12409291,0.314159265,1.386449154,0.448790397,0.040356305,73.84498267,-0.310460228,0.633747044,0,0,5,1,6,0,0,92,1,5.7
1,0,0.154723438,0.628318531,0.757513786,0.445662541,0.050833704,75.42302495,-0.277802028,0.770086495,0,0,5,1,6,0,0,92,1,5.8
1,0,0.189280957,0.471238898,-0.306516791,0.442428451,0.062717387,76.98942719,-0.238831296,0.882484144,0,0,5,1,6,0,0,92,1,5.9
1,0,0.194778745,0.157079633,-1.355622999,0.439312287,0.069323334,78.5444055,-0.193969007,0.96171275,0,0,5,1,6,0,0,92,1,6
1,0,0.205774319,0,-1.886594973,0.436104551,0.078272505,80.08751506,-0.143524288,1.014238475,0,0,5,1,6,0,0,92,1,6.1
1,0,0.205774319,0,-1.538386648,0.432934159,0.084901965,81.61874364,-0.087807823,1.049407119,0,0,5,1,6,0,0,92,1,6.2
1,0,0.205774319,0,-0.301625246,0.429727744,0.090980985,83.13805974,-0.026993543,1.07973562,0,0,5,1,6,0,0,92,1,6.3
1,0,0.205774319,0,1.398180439,0.426491717,0.095991841,84.64548404,0.03878233,1.114428892,0,0,5,1,6,0,0,92,1,6.4
1,0,0.206559717,0,2.848815527,0.42322328,0.099959405,86.14104371,0.10945956,1.159311563,0,0,5,1,6,0,0,92,1,6.5
